,time in hrs
0,0.0
1,0.1001001001001001
2,0.2002002002002002
3,0.3003003003003003
4,0.4004004004004004
5,0.5005005005005005
6,0.6006006006006006
7,0.7007007007007008
8,0.8008008008008008
9,0.9009009009009009
10,1.001001001001001
11,1.1011011011011012
12,1.2012012012012012
13,1.3013013013013013
14,1.4014014014014016
15,1.5015015015015016
16,1.6016016016016017
17,1.7017017017017018
18,1.8018018018018018
19,1.9019019019019021
20,2.002002002002002
21,2.1021021021021022
22,2.2022022022022023
23,2.3023023023023024
24,2.4024024024024024
25,2.5025025025025025
26,2.6026026026026026
27,2.702702702702703
28,2.802802802802803
29,2.902902902902903
30,3.0030030030030033
31,3.1031031031031033
32,3.2032032032032034
33,3.3033033033033035
34,3.4034034034034035
35,3.5035035035035036
36,3.6036036036036037
37,3.7037037037037037
38,3.8038038038038042
39,3.9039039039039043
40,4.004004004004004
41,4.104104104104104
42,4.2042042042042045
43,4.3043043043043046
44,4.404404404404405
45,4.504504504504505
46,4.604604604604605
47,4.704704704704705
48,4.804804804804805
49,4.904904904904905
50,5.005005005005005
51,5.105105105105105
52,5.205205205205205
53,5.305305305305305
54,5.405405405405406
55,5.505505505505506
56,5.605605605605606
57,5.705705705705706
58,5.805805805805806
59,5.9059059059059065
60,6.0060060060060065
61,6.106106106106107
62,6.206206206206207
63,6.306306306306307
64,6.406406406406407
65,6.506506506506507
66,6.606606606606607
67,6.706706706706707
68,6.806806806806807
69,6.906906906906907
70,7.007007007007007
71,7.107107107107107
72,7.207207207207207
73,7.307307307307307
74,7.407407407407407
75,7.507507507507508
76,7.6076076076076085
77,7.7077077077077085
78,7.807807807807809
79,7.907907907907909
80,8.008008008008009
81,8.108108108108109
82,8.208208208208209
83,8.308308308308309
84,8.408408408408409
85,8.508508508508509
86,8.608608608608609
87,8.70870870870871
88,8.80880880880881
89,8.90890890890891
90,9.00900900900901
91,9.10910910910911
92,9.20920920920921
93,9.30930930930931
94,9.40940940940941
95,9.50950950950951
96,9.60960960960961
97,9.70970970970971
98,9.80980980980981
99,9.90990990990991
100,10.01001001001001
101,10.11011011011011
102,10.21021021021021
103,10.31031031031031
104,10.41041041041041
105,10.51051051051051
106,10.61061061061061
107,10.710710710710712
108,10.810810810810812
109,10.910910910910912
110,11.011011011011012
111,11.111111111111112
112,11.211211211211213
113,11.311311311311313
114,11.411411411411413
115,11.511511511511513
116,11.611611611611613
117,11.711711711711713
118,11.811811811811813
119,11.911911911911913
120,12.012012012012013
121,12.112112112112113
122,12.212212212212213
123,12.312312312312313
124,12.412412412412413
125,12.512512512512513
126,12.612612612612613
127,12.712712712712714
128,12.812812812812814
129,12.912912912912914
130,13.013013013013014
131,13.113113113113114
132,13.213213213213214
133,13.313313313313314
134,13.413413413413414
135,13.513513513513514
136,13.613613613613614
137,13.713713713713714
138,13.813813813813814
139,13.913913913913914
140,14.014014014014014
141,14.114114114114114
142,14.214214214214214
143,14.314314314314315
144,14.414414414414415
145,14.514514514514515
146,14.614614614614615
147,14.714714714714715
148,14.814814814814815
149,14.914914914914915
150,15.015015015015017
151,15.115115115115117
152,15.215215215215217
153,15.315315315315317
154,15.415415415415417
155,15.515515515515517
156,15.615615615615617
157,15.715715715715717
158,15.815815815815817
159,15.915915915915917
160,16.016016016016017
161,16.116116116116117
162,16.216216216216218
163,16.316316316316318
164,16.416416416416418
165,16.516516516516518
166,16.616616616616618
167,16.716716716716718
168,16.816816816816818
169,16.916916916916918
170,17.017017017017018
171,17.117117117117118
172,17.217217217217218
173,17.31731731731732
174,17.41741741741742
175,17.51751751751752
176,17.61761761761762
177,17.71771771771772
178,17.81781781781782
179,17.91791791791792
180,18.01801801801802
181,18.11811811811812
182,18.21821821821822
183,18.31831831831832
184,18.41841841841842
185,18.51851851851852
186,18.61861861861862
187,18.71871871871872
188,18.81881881881882
189,18.91891891891892
190,19.01901901901902
191,19.11911911911912
192,19.21921921921922
193,19.31931931931932
194,19.41941941941942
195,19.51951951951952
196,19.61961961961962
197,19.71971971971972
198,19.81981981981982
199,19.91991991991992
200,20.02002002002002
201,20.12012012012012
202,20.22022022022022
203,20.32032032032032
204,20.42042042042042
205,20.52052052052052
206,20.62062062062062
207,20.72072072072072
208,20.82082082082082
209,20.92092092092092
210,21.02102102102102
211,21.12112112112112
212,21.22122122122122
213,21.32132132132132
214,21.421421421421424
215,21.521521521521525
216,21.621621621621625
217,21.721721721721725
218,21.821821821821825
219,21.921921921921925
220,22.022022022022025
221,22.122122122122125
222,22.222222222222225
223,22.322322322322325
224,22.422422422422425
225,22.522522522522525
226,22.622622622622625
227,22.722722722722725
228,22.822822822822825
229,22.922922922922925
230,23.023023023023026
231,23.123123123123126
232,23.223223223223226
233,23.323323323323326
234,23.423423423423426
235,23.523523523523526
236,23.623623623623626
237,23.723723723723726
238,23.823823823823826
239,23.923923923923926
240,24.024024024024026
241,24.124124124124126
242,24.224224224224226
243,24.324324324324326
244,24.424424424424426
245,24.524524524524526
246,24.624624624624627
247,24.724724724724727
248,24.824824824824827
249,24.924924924924927
250,25.025025025025027
251,25.125125125125127
252,25.225225225225227
253,25.325325325325327
254,25.425425425425427
255,25.525525525525527
256,25.625625625625627
257,25.725725725725727
258,25.825825825825827
259,25.925925925925927
260,26.026026026026027
261,26.126126126126128
262,26.226226226226228
263,26.326326326326328
264,26.426426426426428
265,26.526526526526528
266,26.626626626626628
267,26.726726726726728
268,26.826826826826828
269,26.926926926926928
270,27.027027027027028
271,27.127127127127128
272,27.227227227227228
273,27.32732732732733
274,27.42742742742743
275,27.52752752752753
276,27.62762762762763
277,27.72772772772773
278,27.82782782782783
279,27.92792792792793
280,28.02802802802803
281,28.12812812812813
282,28.22822822822823
283,28.32832832832833
284,28.42842842842843
285,28.52852852852853
286,28.62862862862863
287,28.72872872872873
288,28.82882882882883
289,28.92892892892893
290,29.02902902902903
291,29.12912912912913
292,29.22922922922923
293,29.32932932932933
294,29.42942942942943
295,29.52952952952953
296,29.62962962962963
297,29.72972972972973
298,29.82982982982983
299,29.929929929929934
300,30.030030030030034
301,30.130130130130134
302,30.230230230230234
303,30.330330330330334
304,30.430430430430434
305,30.530530530530534
306,30.630630630630634
307,30.730730730730734
308,30.830830830830834
309,30.930930930930934
310,31.031031031031034
311,31.131131131131134
312,31.231231231231234
313,31.331331331331334
314,31.431431431431434
315,31.531531531531535
316,31.631631631631635
317,31.731731731731735
318,31.831831831831835
319,31.931931931931935
320,32.032032032032035
321,32.132132132132135
322,32.232232232232235
323,32.332332332332335
324,32.432432432432435
325,32.532532532532535
326,32.632632632632635
327,32.732732732732735
